instruction,input,output
"A foreigner enters the country on a specific date with a certain purpose and stays for a while, but then decides to change their purpose without informing the relevant authorities. Can they continue to stay in the country? Why or why not?",املادة (61 ) متابعة املخالفين على الهيئة متابعة الأجانب وباقة خاصة الذين يدخلون البلاد بموجب تأشيرا دخول وال يغادرونها خالل املارح لهم بها، وكذلك الأجانب الذين تنتهي تااريح الاقامة الممنو ة لهم أو تااريح العمل الموقتة وال يبادرون إلى تجديدها أو تعديل أوضاعهم خالل املوعد ادد. ويكون للجهة ا ختاة في الهيئة صال ية التوقف عن منح التأشيرا للضامن أو الجهة المستضيافة للأجنبي متى ثبت في أي وقت من الأوقا عدم الالتزام باألكام المنظمة لدخول الأجانب.,"According to Article 61 of the law, a foreigner who enters the country with a specific purpose and stays for a certain period can only do so under the terms of their original permit. If they decide to change their purpose without informing the authorities, it may be considered a violation of the regulations governing their entry into the country. Therefore, they may not be allowed to continue staying in the country. Article 61 states that the competent authority has the right to stop granting permits to foreign nationals or entities if it is proven at any time that there has been non-compliance with the regulations governing their entry."
,,
,,
,,
What would be the outcome for an immigrant who has overstayed their visa and failed to renew it?,املادة (65 ) إخراج األجنبي من الدولة يخر  من الدولة بأمر من الهيئة كل أجنبي: 1.   يضبط على ظهر إ دى السفن وهو يحاول دخول البالد باورة غير مشروعة. 2.  إذا لم يكن  اصال  علىتأشيرة دخول أو  تاريح لإل قامة. 3.   إذا انتهت مدة الترخيص املمنو ة له بموجبتأشيرة دخول أو تاريح إقامة ولم يبادر بالتجديد في  الأل وال التي يجوز فيها ذلك خالل املهلة املقررة. 4.  .إذا أ لغيت تأشيرة دخوله أو تاريح إقامته ولم يبادر بمغادرة البالد خالل املهلة املقررة ,"According to Article 65 of the law, an immigrant who has overstayed their visa and failed to renew it will be deported from the country. This is because they have failed to meet condition number 4 of the law, which states that if a visa holder's visa or residence permit expires and they fail to leave the country within the specified timeframe, they will be subject to deportation."
"A foreign spouse has been ordered to leave the country, but what happens to their dependent family members? Should they be included in the expulsion order or provided for separately?",AMLADA (66) 26 قرار مجلس الوزراء لسنة 2022 ( بإصدار الالئحة التنفيذية للمرسوم بقانون اتحادي رقم 29 ) لسنة2021 في شأن دخول وإقامة الأجانب أسرة الأجنبي الصادر أمر بإخراجه يجوز للهيئة تضمين أمر إخرا الأجنبي أفراد أسرته الأجانب الم كلف بإعالتهم.,"As the law states (AMLADA 66/26), I would recommend including dependent family members of the foreign spouse in the expulsion order, as per the article's provision: 'يجوز للهيئة تضمين أمر إخرا الأجنبي أفراد أسرته الأجانب الم كلف بإعالتهم.' This means that the authority has the discretion to include the dependent family members in the same expulsion order as their spouse. Therefore, I would advise taking this approach to ensure the well-being of the affected family members."
,,
"A foreign employee's exit expenses are incurred on his own account or on the account of the employer if related to his term of service, and if not possible, then on the account of the organization.",amlada (68 ) نفقات إخراج األجنبي تكون نفقا  إخرا  األجنبي على  سابه الخاص أو على  ساب الجهة الضامنة أو صا ب العمل إن كان تاريح إقامته مرتبطا بعقد عمل، وإن تعذر ذلك يتم إخراجه على نفقة الهيئة.,"According to article 68 of the law, a foreign employee's exit expenses are incurred on his own account or on the account of the employer if related to his term of service. Since the employee's term of service is related to his employment contract, the employer will be responsible for paying these expenses (amlada (68 ))."
"What should I do if a foreigner has an order to leave the country and I am responsible for facilitating their departure, but they have not presented any acceptable guarantee?",املادة (69 ) مهلة تصفية مصالح الاجنبي الصادر أمر بإخراجه إذا كان لألجنبي الاادر أمر بإخراجه ماالح في الدولة تقتض ي التافية، منحته الهيئة مهلة لتافيتها بعد أن يقدم كفالة مقبولة، وبحيث لا تزيد هذر المهللة على (3) .ثالثة أشهر,"As per Article 69 of the law, I should grant a period of time not exceeding 3 months for the foreigner to facilitate their departure after presenting an acceptable guarantee. The foreigner is responsible for submitting this guarantee."
,,
"A foreigner has been living in my country without any visible means of subsistence and I, as a government official, think that their presence is a threat to national security. Can I deport them?","املادة (71 ) اإلبعاد اإلداري 
ييجوز إبعاد األجنبي إداريا    عن الدولة ولو كان  اصال  على تاريح  باإلقامة في األ وال اآلتية:
1. .إذا لم تكن له وسيلة ظاهرة للعيش 
2. .إذا رأ  سلطا  األمن أن إبعادر تستدعيه املال ة العامة أو األمن العام أو اآلداب العامة","As a government official, you can deport the foreigner if they don't have any visible means of subsistence (article 1) and you believe their presence poses a threat to national security or public order (article 2). Article 71 of the Administrative Law allows for the administrative deportation of foreigners from the country, regardless of the length of time they've been residing here. The decision is yours."
,,
"A foreigner is arrested and ordered to be deported from the country, but there are delays in the process. What would happen next?",املادة (73 ) توقيف املمبعد يتم توقиф األجنبي الاادر أمر بإبعادر في المؤسسة العقابية والiscalة ملدة لا تزيد على شهر كلما كان ذلك التوقيف ضروريا لتنفيذ أمر الإبعاد وذلك بعد موافقة النائب العام الاتحادي.,"As a foreigner, I would be arrested and ordered to be deported from the country. According to article 73 of the law, I would be detained for no more than one month in order to facilitate my deportation, with the approval of the Attorney General. The detention is necessary to ensure that I am deported as ordered. (Article 73)"
"What expenses are considered to be the responsibility of an individual, and under what conditions?",املادة (74 ) نفقات اإلبعاد تكون نفقا   إبعاد  األجنبي وأسرته من مال ذلك األجنبي،  أو على نفقة من قام برشغيله با خالفة  للقانون و وإال  تحملت الهيئة نفاقا  اإلبعاد.,"According to Article 74, expenses related to the departure of a foreigner and their family from the country are considered to be the responsibility of that individual. This is either taken from their own wealth or through the means they used to run their business in accordance with the law, provided that the institution did not bear the expenses."
,,
,,
What would be the consequence if someone wants to establish an embassy?,املادة (77 ) اإلقامة الذهبية تسري على اإلقامة الذهبية األ كام الواردة في املل ق  املرفق بهذا القرار.,"According to Article 77, the golden establishment (i.e., establishing an embassy) applies only to the full establishment that is mentioned in this decree. Therefore, if someone wants to establish an embassy, they must follow the full and complete procedure outlined in this decree."
"A government agency wants to establish new rules for applying for a permit, but it's unclear what process to follow.",املادة (78 ) النماذج تقدم طلبا الاول على التأشيرا واإلقاما وتادر وفقا للنماذ التي يادر باعتمادها قرار من الرئيس.,"To establish new rules for applying for a permit, we need to follow the model presented in Article 78 of the law. Specifically, we must present the request first and then examine it according to the models that are adopted with a presidential decision (Article 78)."
What happens to the rules for granting golden residence permits if a new decree is issued that contradicts the existing regulations?,"املادة (79 ) 
 ائللغاءات
 1. يلغى قرار وزير الداخلية رقم (360 ) لسنة1997 بإصدار الالئحة التنفيذية لقانون دخول وإقامة الأجانب.
 2. يلغى قرار مجلس الوزراء رقم ( 8 ) لسنة2021 في شأن تنظيم تااريح الإلقامة الذهبية
 3. يلغى أي كم يخالف أو يتعارض مع هذا القرار.","The new decree issued will cancel the existing regulations, including those related to granting golden residence permits (Article 79, paragraph 1). Any rules or decrees that contradict this decision are also cancelled (Article 79, paragraph 3)."
"I am considering applying for the Golden Establishment Certificate for outstanding individuals who work in humanitarian fields, and I want to know if my qualifications meet the requirements.","""التخر أكثر من عامين. 4. أن تكون الشهادة معتمدة من وزارة التربية والتعليم 39 قرار مجلس الوزراء لسنة 2022 ( بإصدار الالئحة التنفيذية للمرسوم بقانون اتحادي رقم 29 ) لسنة2021 في شأن دخول وإقامة الأجانب

أملادة (22)
تصريح الإلقامة الذهبية لرواد العمل الإنساني والعاملين فيه
للهيئة أن تمنح تصريح الإلقامة الذهبية لرواد العمل الإنساني ممن لهم إسهاما بارزة وملموسة في هذا أ جال من داخل وخار الدولة بناء على توصية من وزارة تنمية الجتمع بالتنسيق مع الجهات ال كومية والتحادية والخ途، ويندر ضمن هذر الفئة:
1. أعضاء المنظما الدولية أو العاملين فيها.
2. أعضاء الجمعيا واملؤسسا الأهلية ذا النفع العام أو العاملين فيها
3. الاصلون على الجوائز التقديرية في مجال العمل الإنساني.
4. الممتطوعون المتميزون
5. الداعمون ماديا للعمل الإنساني

أملادة (23)
شروط إصدار تصريح الإلقامة الذهبية لرواد العمل الإنساني والعاملين فيه
ي شترط لإصدار تاريح الإلقامة الذهبية لرواد العمل الإنساني والعاملين فيه ما يأتي:
1. أن يكون من أعضاء المنظما الدولية أو العاملين متميزين فيها،مدة ال تقل عن(5) خمس سنوا.
2. أن يكون من أعضاء الجمعيا وAMLؤسسا الأهلية ذا النفع العام، أو العاملين متميزين فيها، مدتهاال تقل عن (5) خمس سنوا.
3. الاصلون على الجوائز التقديرية من إ دى MLAءسا الأهلية أو الإلقليمية أو الدولية الملتخاة في مجال العمل الإنساني.
4. (الداعمون ماديا للعمل الإنساني، على أن تقل قيمة الدعم عن 2,000,000 مليوني درهم إماراتي أو ما يعادلها).
5. أن يكون اصال على مؤهل جامعي
6. أية فئة أخرى يتم الالتفا عليها بين وزارة تنمية الجتمع والجهات ال كومية والهيئة وتقع ضمن مجال العمل الإنساني.","I meet the requirements for the Golden Establishment Certificate. According to Article 22, I am eligible as a humanitarian worker who has made significant and tangible contributions in this field from inside or outside the country. Additionally, according to Article 23, I meet the requirements since I have at least 5 years of experience in my field, and I hold a recognized academic qualification. However, I need to ensure that my qualifications are recognized by the Ministry of Education and that I meet the financial support criteria mentioned in Article 23. If all these conditions are met, I can proceed with my application."
,,
,,
What does this law apply to?,"""املادة (3) نطاقسريان املرسوم بقانون   تسري أحكام هذا  املرسوم بقانون على كل من ارتكب فعل من أفعال الغش التجاري في الدولة بما في ذلك  الامناطق الحرة.""","This law applies to all those who commit commercial fraud in the country, including free zones. According to Article 3 of this Law."
,,
"A food processing company has been found to be selling expired and contaminated meat products from its stores. What actions should the company take, and what are the consequences?","املادة (5) 
The withdrawal of goods from markets and warehouses and factories 1. The supplier shall, on his own initiative or based on an order from the ministry or the competent authority - according to circumstances - withdraw goods that are spoiled or rotten or counterfeit from markets and warehouses, and the competent authority or the ministry shall, according to circumstances, withdraw such goods and dispose of them or return them to their source at the expense of the supplier without violating his rights, and a predetermined penalty is incurred. 2. In all cases, the supplier shall settle any expenses or fees incurred by the competent authority or the ministry regarding the withdrawal or disposal or destruction or reclamation of spoiled or rotten or counterfeit goods in accordance with the provisions of this article.","As the food processing company, I will immediately withdraw the expired and contaminated meat products from my stores and warehouses, as per Article 5(1) of the law. I will notify the competent authority and the ministry about the actions taken, and I will settle any expenses or fees incurred by them regarding the withdrawal or disposal or destruction or reclamation of these goods (Article 5(2))."
,,
What would happen if someone sold spoiled or contaminated goods?,"املادة (7) رد قيمة البضائع املغشوشة أو الفاسدة  أو املقلدة  يلتزم املزود برد قيمة البضائع املغشوشة   أو  الفاسدة  أو   املقلد ة  أو تبديلها  أو تغييرها  طبقاً   لرغبة  املتعامل  حسن النية، وذلك دون اإل خالل بحق املتعامل في املطالبة بالتعويض.

5 
مرسوم بقانون اتحادي لسنة 2023 فيشأن مكافحة الغش التجاري   ","As per Article (7) of the Unified Law No. 5 for the year 2023 regarding Commercial Fraud, if someone sold spoiled or contaminated goods, they must refund the value of the goods or replace them as desired by the consumer with good intention, without the right to demand compensation."
"A merchant has sold goods worth $10,000 to a customer and wants to know what information he needs to provide to the relevant authorities according to Article 8 of the Commercial Law.","املادة (8) التزامات املزود 
يلتزم املزود بما يأتي: 
1. أن يقدمإلى السلطة املختصة   أو الوزارة  بحسب األحوال الدفاتر التجارية اإللزامية أو ما في حكمها والتي 
توضح البيانات التجارية للبضائع التي يملكها أو يحوزها وقيمتها وكافة املستندات والفواتير املؤيدة لها متى 
طلب منه ذلك. 
2. أن يضع على البضائع البطاقات التعريفية أو أي معلومات مكتوبة أو مطبوعة أومرسومة أو محفورة 
تصاحب منتج من املنتجات وتبين مكونات السلعة وكيفية استعمالها أو صيانتها أو تخزينها، وذلك بحسب 
القوانين النافذة في الدولة.","According to Article 8 of the Commercial Law, I need to provide relevant authorities with commercial documents and data that show the goods I sold worth $10,000, including their value, invoices, and any other supporting documentation. Additionally, I must attach labels or written information about the product's composition, usage, maintenance, and storage instructions, as per the prevailing laws in the country (Law Article 8/2)."
,,
,,
,,
,,
,,
,,
,,
,,
"What would be the punishment for someone who violates articles 4, 5, and 8 of the law?","AMLADA (17) يعاقب بالحبس مدة لا تزيد على (2) سنتين وبغرامة لا تقل عن 5,000 خمسة آلاف درهم، وال تزيد على (1,000,000) مليون درهم أو بإحدى هاتين العقوبتين كل من خالف أحكام أملواد (4)(5),(8),(11) من هذا الاملرسوم بقانون.","The punishment would be a prison sentence not exceeding 2 years and a fine not less than 5,000 Dirhams. According to Article 17 of the law."
A citizen named John wants to appeal a decision made by the Ministry of Commerce regarding his business license.,"مرسوم بقانون اتحادي لسنة 2023 فيشأن مكافحة الغش التجاري
املادة (23 ) 
التظلم من القرارات والطعن عليها
1.   يجوز لكل  ذي مصلحةا لتظلم خطياً  إلى الوزير أو  رئيس السلطة املختصة بحسب األحوال   من أي قرار
...ال_rest_of_the_law...","As I, John, am dissatisfied with the Ministry's decision, I will appeal it according to Article 23 of the Unified Federal Law No. 2023 for the year 2023 regarding combating commercial fraud. I will submit my appeal within 15 days from the date of notification and wait for a response within 30 days. If my appeal is rejected, I can file a complaint with the competent court according to Article 23 (2) of this law."
What happens if a farmer applies a pesticide on parts of plants that are not listed in the table attached to the law?,املادة (2) ال تسااااااري أحكام اذا املرس#aa#aawm بقانون على أجزاء النباتات املبينة في القس#aa#aaام ال ال من الجدول رقم ( 4) املرفق ب ذا املرسوم بقانون.,"As per the law article (2), if someone applies a pesticide on parts of plants that are not listed in the table attached to the law, they will be held accountable for the consequences. The law article states that any application of pesticides must comply with the regulations and restrictions set forth in the table, and failure to do so will result in legal action. Therefore, it is essential to carefully review the table before applying any pesticides on plants."
,,
,,
What should be done by the Ministry of Health and local health authorities to treat addicts affected by psychological substances?,املادة (5) تنشاااااااانا وزارة الصااااااااحة ووقاية املجتمع وحدات متخصااااااااصااااااااة لعالج وتأايل املدمنين على املواد املخدرة  وAMLؤثرات العقلية، ويصااااااااااااادر مجلس الوزراء، بناءً على عرو وزير الصاااااااااااااحة ووقاية املجتمع، الالئحة املنظمة لعمل اذه الوحدات وللجهات الصحية املحلية إنشاء وحدات مماثلة وفقًا لقوانين إنشائا.,"Based on Article 5, the Ministry of Health and local health authorities should establish specialized units for treating addicts affected by psychological substances. This requires a decree from the Council of Ministers, based on the proposal of the Minister of Health, to create similar units in line with the laws governing their establishment."
,,
,,
,,
,,
,,
,,
"What can I do if I want to use a substance that has a psychological effect, but it's not prescribed by a doctor?",املادة (12) ال يجوز تعاط  املواد املخدرة أو املؤثرات العقلية بأية صورة  انت أو استعمالها شخصيًا إال للعالج، وبموجب وصفة طبية من الطبيب املعالج تحرر وفقًا ألحكام املادة  40 .) من اذا املرسوم بقانون ييسري اذا الحظر على أية مادة أو نبات من اير املواد املخدرة أو املؤثرات العقلية امنصوص علي ا في  الجداول املرفقة ب ذا املرسوم بقانون، يكون من شأن ا إحداث التخدير أو أي أثر  خر ضار بالعقل ملى  ان التعاط بقصد إحداث التخدير أو الضرار بالعقل.,"Based on article 12 of the law, it is not allowed to use any substances that have a psychological effect, whether for personal or intentional purposes, unless they are prescribed by a doctor and in accordance with the regulations specified in article 40. Since you want to use a substance with a psychological effect without a prescription, this would be considered an illegal act under the law."
"A person is accused of possessing and distributing illegal drugs. The police found a large quantity of marijuana in their possession, but also discovered a small amount of other substances that the person claimed were used for personal medicinal purposes.","املادة (13) في جميع األحوال املرخص في ا بحيازة أو إحراز املواد املخدرة أو املؤثرات العقلية، ال يجوز أن تزيد نسب فروق
الوزن على النسب املنصوص علي ا في دساتير األدوية املقررة.
الفصل الثاني 
ell نباتات التي ينتج عنها مواد مخدرة أو مؤثرات عقلية.","As the person in question, I would argue that the small amount of substances found on me are for personal medicinal purposes and do not exceed the amounts allowed by the laws regulating drugs (Article 13). The police should focus on determining whether these substances are indeed used for medicinal purposes rather than assuming they are illegal drugs."
"What are the restrictions on planting, harvesting, and possessing plants that produce drugs or psychoactive substances?",AMLADA (14) في اير األحوال املرخص ب ا وفقًا ألحكام اذا املرسوم بقانون، يحظر زراعة وجلب واستيراد وتصدير وتملك وحيازة و حراز النباتات املذ ورة في  الجدول رقم 4 القسم ال ان أو أي نبات  خر ينت  عنه مواد مخدرة أو مؤثرات عقلية، في جميع أطوار نمواا وكذلك بذوراا، كما تحظر سائر أوجه النشاط والتصرفات املتعلقة ب,"According to AMLADA Article (14), the planting, harvesting, and possessing of plants that produce drugs or psychoactive substances are prohibited. This includes all stages of growth, as well as seeds, in accordance with the laws and regulations outlined in the table numbered 4, section ..., as stated by the law. (AMLADA Article 14)"
,,
What are the necessary permits required for a government agency and a scientific institution to cultivate a new plant species?,AMLADA (16) يصدر وزير التغير املناخي والبيئة التراخيص الالزمة للجهات الحكومية واملعااد العلمية املعترك ب ا لزراعة أي نبات من النباتات املمنوع زراعت ا وذلك لألاراو والبحوث العلمية، وبالشروط الل  يضعها في اذا الشأن وبتنسيق مع وزير الداخلية، وله في سبيل ذلك أن يرخص لها باستيراد اذه النباتات، وفي اذه الحالة تطبق أحكام الفصل األول من الباب الثالث من مرسوم بقانون.,"According to Article 16 of the Law, the necessary permits required for a government agency and a scientific institution to cultivate a new plant species are those issued by the Minister of Environmental Change and Environment. The minister must license the importation of the plant species in accordance with the conditions set forth in the case, and in coordination with the Minister of Interior. (AMLADA 16)"
,,
Can a private pharmacy be granted permission to use a certain medication?,"AMLADA (18):ال يجوز منح اإلذن املشار إليه في املادة السابقة إال للجهات اآلتية
1. الجهات الحكومية واملعااد املعترك ب ا
2. المستشفيات وalmstwafaat والصحات الحكومية أو almrichaha läha
3. معامل التحاليل الكيماوية أو alabhaat الطبية والعلمية والصناعية almrichaha läha
4. مخازن الأدوية والصيدليات ومصانع المستحضرات الطبية almrichaha läha بشرط أن تستخدم صيدلي المسئوال مرخصا له بمزاولة المهن
5. مكاتب وسطاء ووكالء مصانع وشرات الأدوية والمستحضرات الطبية almrichaha läha بشرط أن يستخدموا صيدلي المسئوال مرخصا له بمζαولة المهن","No, a private pharmacy cannot be granted permission to use a certain medication without being licensed by the Ministry of Health. According to Article 18 of AMLADA, only the authorized government agencies and entities mentioned in points 1-5 can be granted permission to use specific medications. (AMLADA (18))"
,,
,,
What if I want to import some drugs into my country? Is it allowed?,"""املادة (21) ال يجوز استيراد أي من املواد املخدرة أو املؤثرات العقلية أو تصديراا أو نقلها داخل طرود محتوية على مواد أخرى ويجب إرسالها حلى ولو  انت بصفة عينة داخلطرود مؤمن علي ا ويبين على  الالفها باإلضافة إإى اسم المرسل إليه وعنوانه اسم المادة وكميتها واسم المرسل وعنوانه امالً.""","According to the law, importing drugs (including substances that can affect the mind) is not allowed unless they are sent as a sample inside a sealed container and accompanied by the necessary documentation. The documentation should include the name of the substance, its quantity, and the name and address of the sender. Article 21 of the law specifically states this requirement. (Article 21)"
What data should be included in an electronic register for importing or exporting controlled substances?,"amlāda (22) على الجهة الإدارية المختصة أن تنشأ سجلً إلكتروني خاصا تقيد به الأذون الصادرة باستيراد أو تصدير الملوات المخدرة أو المؤثرات العقلية ويتضمن السجل على وجه الخصوص البيانات اآلتية:
1. اسم المرخص له وصفته وتاريخ ميالده وجنسيته ومحل إقامته
2. تاريخ الإذن ورقمه
3. أنواع الملوات وكمياً بالحروك والأرقام
4. مكان الذي تودع فيه الملوات
5. رقم القيد في السجل التجاري بالنسبة إلى الجهات التي التعين قيداها في إذا السجل","According to Article 22 of the Federal Law, an electronic register for importing or exporting controlled substances should include the following data: The name and description of the license holder, their date of birth, gender, and place of residence (article 1); the date and number of the permit (article 2); types and quantities of the substances, with their schedules and numerical codes (article 3); the location where the substances are stored (article 4); and the registration number in the commercial register for entities that require registration in this register (article 5)."
A customs officer stopped an import shipment of goods that arrived 65 days after the permit was issued. The officer claims that the permit has expired and the goods cannot be released. Is this correct?,املادة (23) .يعتبر إذن االستيراد أو التصدير ملغي ا إذا لم يستعمل خالل ستين يومًا من تاريخ إصداره ,"As a matter of fact, the permit has indeed expired according to Article 23 of the law. The officer is correct that the goods cannot be released because more than 60 days have passed since the permit was issued. (AMLADA 23)"
What is the regulation regarding the trade of psychotropic substances or their derivatives?,"املادة (24) 
( مع عدم اإلخالل بأحكام املادة10 ) من اذا املرسوم بقانون، ال يجوز االتجار في املواد  املخدرة أو املؤثرات 
العقلية إال بعد الحصول على ترخيص بذلك من الجهة اإلدارية املختصة، وتطبق في اذا الشأن أحكام املواد (18), (19), (20), (21), (22).","According to Law Article 24, it is not allowed to trade in psychotropic substances or their derivatives without obtaining a permit from the relevant administrative authority. This regulation applies only after the issuance of a law, and it is subject to the provisions of Laws (18), (19), (20), and (21)."
"A pharmaceutical company has been accused of selling controlled substances and psychoactive substances without proper licenses. As the judge, I need to decide whether the company's actions are illegal based on the Saudi Arabia penal code.",املادة (25) يجب أن يكون للجهة املرخص لها باالتجار في املواد املخدرة أو املؤثرات العقلية صيدإي مسئول عن اذه املواد.,"Based on Article 25 of the Saudi Arabia penal code, I conclude that the pharmaceutical company's actions are illegal because it failed to provide a responsible person for the controlled substances and psychoactive substances. The law states: 'Article 25: It is obligatory for the party involved in trading in drugs or psychoactive substances to have a responsible person for these drugs.' Therefore, the company must be held accountable for its actions."
What if a license holder moves their industrial or commercial activity to a new location and fails to notify the relevant authorities within 15 days?,املادة (26) إذا اير صاحب الترخيص محل نشاطه الصناعي أو التجاري أو ترك أعمالها من أجلها منح الترخيص وجب عليه أن يبلغ الجهة الإدارية المختصة خالل خمسة عشر يومًا على الأكر من حدوث التغيير أو ترك العمل، وعليه في حالة ترك العمل أن يعيد الترخيص إليا.,"As the license holder failed to notify the relevant authorities within 15 days of moving their industrial or commercial activity to a new location, they are in violation of Article 26 of the law. Therefore, I recommend that the license be revoked and re-issued once the notification is made."
Can a hospital pharmacy sell controlled substances to a patient?,"""املادة (27) ال يجوز للجهات املرخص لها باالتجار في املواد املخدرة أو املؤثرات العقلية أن تبيع أو تسلم اذه املواد أو التنازل ع  ا بأية صفة  انت إال لألشخاص املذ ورين تاليًا: 1.  مديري مخازن األدوية والصيدليات ومصانع املستحضرات الطبيةاملرخص لها في اذا االتجار. 2.   مديري صيدليات املستشفيات واملستودعات وAMLSTوصفات وAMLSCحات املرخص ب ا إذا انوا من الصيادلة. 3.   أطباء املستشفيات وAMLSTوصفات وAMLSCحات املرخص ب ا الذين تحددام اذه الجهات إذا لم يكن ب الصيادلة. 4.  .مديري معامل التحاليل الكيماوية أو األبحاث الطبية والعلمية والصناعية املرخص ب ا 5.  .مم لي الجهات الحكومية وAMLMAعاد العلمية AMLEعلق ب ا "".","Based on article 27 of the Federal Law, a hospital pharmacy cannot sell controlled substances to a patient. The law allows only specific individuals or entities to engage in the trade of controlled substances, including pharmacy managers, hospital pharmacists, and research institute directors. Since a hospital pharmacy is not one of these authorized entities, it cannot sell controlled substances without proper authorization."
,,
"A manager of an entity licensed to trade in controlled substances or psychoactive substances has not submitted a report within the first week of the month, what should they do?","املادة (29) على مدير الجهة املرخص لها باالتجار في املواد املخدرة أو املؤثرات العقلية أن يرسل إإى الجهة اإلدارية املختصة في األسبوع األول من  ل شهر كشفًا بالوارد واملصروك من  املواد املذ ورة في  الجداول املرفقة  ب ذا املرسوم 
بقانون، والباقي م  ا حلى ن اية الشهر السابق.","As the law states, Article 29 requires the manager to submit a report within the first week of each month. Therefore, I should immediately send the required data and documents to the relevant authorities as per the law's requirement. Law article: (29)"
What is the procedure for obtaining permission to produce and manufacture drugs or medical products containing controlled substances?,"املادة (30) يصدر وزير الصحة ووقاية املجتمع قرارًا يبين إجراءات وكيفية بيع املواد املخدرة أو املؤثرات العقلية وتسليمها والتنازل عا وكذا البيانات الواجب إثبا في السجل والكشف املشار إلي ما في املادتين السابقتين.
الفصل الثالث ترخيص إنتاج املواد املخدرة أو املؤثرات العقلية وصنع املستحضرات الطبية المحتوية عليها","To obtain permission to produce and manufacture drugs or medical products containing controlled substances, you need to follow the procedure outlined in Article 30 of the Ministry of Health's decision. Specifically, you must submit a request to the Minister of Health, accompanied by all necessary documents and data, as required by law (Article 30). The Minister will then review your application and issue a permit if all requirements are met."
,,
Is it allowed for a pharmaceutical company to produce a medicine that contains a psychoactive substance?,"""املادة (32) ال يجوز في مصانع املستحضرات الطبية أو الصيدليات صنع مستحضر تدخل في تركيبه مادة من املواد املخدرة أو املؤثرات العقلية إال بعد الحصول على الترخيص املنصوص عليه في املادة 24) من اذا املرسوم بقانون ويشترط أن تتبع أحكام املادتين (28( )،29 ) من اذا املرسوم بقانون فيما يتعلق بما يرد إلي ا من تلك املواد وأحكام ااتين املادتين  واملادة 25 ) من اذا املرسوم بقانون فيما يتعلق بما تنتجه من مستحضرات طبية تدخل في تركيب ا إحدى املواد املشار إلي ا ب أية نسبة  انت.""","According to Article (32), it is not allowed for a pharmaceutical company to produce a medicine that contains a psychoactive substance unless they obtain the necessary license as specified in Article (24). The production of such medicines must also comply with the regulations outlined in Articles (28) and (29) regarding the substances used, and Article (25) regarding the output products. Therefore, my answer is: NO, it is not allowed."
What are the pharmacies and medical supplies companies allowed to do if they want to exceed the percentages specified in the table attached to this law?,"AMLADA (33) 
ال يجوز للصيدليات ومصانع املستحضرات الطبية أن تجاوز النسب الواردة بالجدول رقم (9) المرفق ب ذا
املرسوم بقانون، وذلك مع مراعاة الشروط المنصوص عليها في دساتير الأدوية المقررة.

الفصل الرابع
التعامل الطبي في الملواد والمؤثرات العقلية","According to AMLADA (33), pharmacies and medical supplies companies are allowed to exceed the percentages specified in Table No. 9 attached to this law, provided that they comply with the conditions stipulated in pharmaceutical regulations. (AMLADA article 33)"
A pharmacy wants to stock a new medication that contains controlled substances. The pharmacist needs to ensure that they are following the correct procedures and regulations.,"""املادة (34) ال يجوز للصيدلية أن تصرك أي ا من املواد املخدرة أو املؤثرات العقلية إال بموجب وصفة طبية من طبيب معالج
مرしくته في الدولة ومستوفية للشروط املنصوص علي ا في  القانون 
الأتحادي رقم (8) لسنة2019 .املشار إليه أو أي قانون  خر يحل محله 
ويحدد وزير الصحة ووقاية املجتمع بقرار منه املواد املخدرة أو املؤثرات العقلية الل  تقيد الوصفة الطبية 
الخاصة ب ا في السجل املنصوص عليه في املادة 36 .) من اذا املرسوم بقانون
ويحظر على الصيدلية صرك اذه املواد إذا زادت النسبة املدونة بالوصفة على النسب املبينة  بالجدول رقم (9) .املرفق ب ذا املرسوم بقانون""","As a pharmacist, I would need to obtain a medical prescription from a licensed doctor before stocking the medication. According to Article 34 of the Federal Law No. 8 of 2019, it is prohibited for pharmacies to dispense controlled substances without a valid prescription. (amlada 34). If there are any special circumstances that require an increase in the dosage, I would need to consult with the doctor and obtain approval from the relevant authorities before dispensing the medication."
"As a pharmacist, I need to know what medications can be dispensed with certain licenses and permits.","AMLADA (35) يجز للصيدلية صرك املواد املخدرة أو املؤثرات العقلية بموجب بطاقات ترخيص تصدر من الجهة الإدارية الأمختصة للاشخاص الذين ذورين تاليًا:
1. الأطباء المرخص لهم بمزاولة مهنة الطبالبشري أو البيطري.
2. صيادلة المستشفيات وال مستوصفات والصحات.
3. أطباء المستشفيات وال مستوصفات والصحات الذين تحددام الجهات إذا لم يكن ب صيدلية.","Based on Law Article (35), as a pharmacist, I can dispense controlled medications and psychoactive substances with the appropriate licenses and permits issued by the relevant authorities. According to the law, these licenses are only granted to individuals who meet certain criteria, including licensed physicians, hospital pharmacists, and doctors in hospitals or clinics."
,,
